Aimag,Year,Mort_hor,Mort_cat,Mort_cam,Mort_sheep,Mort_goat,All_SFU,All
Arkhangai,1992,0.03066528066528067,0.03350604490500864,0.1176470588235294,0.03244228432563791,0.02230106436898125,0.03204597263045247,0.047312346617687566
Arkhangai,1993,0.05100379815518177,0.06713780918727916,0.08333333333333334,0.057321713514177,0.04795486600846263,0.059041605107706306,0.061350304039686776
Arkhangai,1994,0.008447729672650475,0.01126363956353397,0.1,0.02037697401935813,0.01148936170212766,0.012234319585327745,0.030315540991534044
Arkhangai,1995,0.02469135802469136,0.03677869372225745,0.1,0.07179612839990199,0.04731638418079096,0.03987683110194747,0.05611651286552836
Arkhangai,1996,0.01387645478961504,0.01576911633442428,0.0,0.01754385964912281,0.01234166937317311,0.015198772323602686,0.011906220029267047
Arkhangai,1997,0.007089241034195162,0.007309149972929075,0.0,0.007258809555232941,0.006994963626189145,0.0072011666492579895,0.0057304328377092645
Arkhangai,1998,0.007521773555027712,0.01364087301587302,0.0,0.007676622286194075,0.00691403549204886,0.010229687883728703,0.007150660869828733
Arkhangai,1999,0.00662739322533137,0.007942069609904227,0.0,0.007547582585867425,0.006341656757827983,0.007322659162567142,0.005691740435786201
Arkhangai,2000,0.06004696410600469,0.0668103448275862,0.25,0.06431718061674009,0.05497097242380261,0.06339991364583528,0.09922909239482672
Arkhangai,2001,0.2349066959385291,0.4122725151656556,0.125,0.2034823820317329,0.1834592005894271,0.30216328088353717,0.23182415874506895
Arkhangai,2002,0.04937701892016613,0.04543815362423368,0.0,0.03583453583453584,0.03333987056285546,0.04371721488262732,0.032797915788358216
Arkhangai,2003,0.07182599898836621,0.1128650355169692,0.0,0.05545454545454546,0.0582432176057674,0.08220481240020326,0.05967775951312966
Arkhangai,2004,0.01765316718587747,0.03421394543092248,0.0,0.01140590131415819,0.0103840448327015,0.021045399085025174,0.014731411752731929
Arkhangai,2005,0.01202928870292887,0.01510574018126888,0.0,0.009058181395888978,0.0081374321880651,0.01187464800832371,0.008866128493630365
Arkhangai,2006,0.01388888888888889,0.0122432859399684,0.0,0.008471157724889069,0.009667593696199179,0.011519993676847385,0.008854185249989106
Arkhangai,2007,0.01072124756335283,0.008173418621179816,0.0,0.005247763248451479,0.007606721162579474,0.008129553572833561,0.006349830119112719
Arkhangai,2008,0.01866181156121985,0.0148593107809042,0.0,0.01163390030189235,0.0167059748427673,0.015401740396664825,0.01237219949735674
