Aimag,Year,Temp_Winter,Temp_Winter_Z_study,Temp_Winter_Z_climate
Arkhangai,1970,-20.777617235536905,-0.9902961957412366,-0.7965766872797003
Arkhangai,1971,-22.0472441119912,-1.712496842473082,-1.4951855853288571
Arkhangai,1972,-22.30110100640189,-1.856898017905616,-1.6348696835118688
Arkhangai,1973,-19.592369720082203,-0.3160929805499961,-0.14439731391943822
Arkhangai,1974,-20.512200842963303,-0.8393196419798614,-0.6505320051933714
Arkhangai,1975,-20.099115611888724,-0.6043447634780879,-0.42323292746170904
Arkhangai,1976,-19.427863302348552,-0.22251695165355756,-0.05387808394230124
Arkhangai,1977,-22.85524634843989,-2.1721119849578416,-1.9397867216903506
Arkhangai,1978,-18.650549646071426,0.2196416350050672,0.3738367407208898
Arkhangai,1979,-17.55192361525545,0.8445720336018231,0.9783528666711393
Arkhangai,1980,-18.66929963665242,0.2089760957234588,0.36351960700141384
Arkhangai,1981,-20.8228590035144,-1.0160310275241666,-0.8214708528481074
Arkhangai,1982,-19.746540097837073,-0.4037895696710503,-0.22922916468802024
Arkhangai,1983,-20.046674356342812,-0.574514654039592,-0.39437726251898425
Arkhangai,1984,-22.70824746025931,-2.0884947474200235,-1.8589009644723853
Arkhangai,1985,-21.478116334514834,-1.3887604309421888,-1.182024500883081
Arkhangai,1986,-20.74804261760945,-0.9734732939972971,-0.7803033304189628
Arkhangai,1987,-18.18946002913108,0.4819228025915849,0.6275501073536086
Arkhangai,1988,-20.13953557897495,-0.627336814853115,-0.44547390958722266
Arkhangai,1989,-19.028914774200043,0.004416559588902798,0.16564230964492102
Arkhangai,1990,-17.618261812940034,0.806836939804322,0.9418504453358091
Arkhangai,1991,-17.865216836811562,0.6663617488161007,0.8059640835281539
Arkhangai,1992,-18.00971959431964,0.5841643829109956,0.7264518157430623
Arkhangai,1993,-18.741570677580636,0.16786622835509774,0.3237526540484883
Arkhangai,1994,-18.570268117645618,0.265308100346175,0.41801144365714593
Arkhangai,1995,-19.283041899881223,-0.14013833123981198,0.025809517405728538
Arkhangai,1996,-20.11508181536637,-0.6134268037934366,-0.43201828954280896
Arkhangai,1997,-16.487016305805703,1.450322244043089,1.5643153535844834
Arkhangai,1998,-17.67984270637416,0.771807938851969,0.9079657183339339
Arkhangai,1999,-16.77019555362652,1.2892416622517073,1.408496706437553
Arkhangai,2000,-20.144288126627583,-0.6300402020072532,-0.44808898661505303
