Aimag,Year,Season,Seasonal_Temp_C
Arkhangai,2000,MAM,0.01298345871915854
Arkhangai,2000,SON,-5.631000735435934
Arkhangai,2001,DJF,-20.090407694121918
Arkhangai,2001,JJA,14.81065719039354
Arkhangai,2001,MAM,-0.6150125385802242
Arkhangai,2001,SON,-1.39411712458102
Arkhangai,2002,DJF,-17.998719278971333
Arkhangai,2002,JJA,16.465855275848785
Arkhangai,2002,MAM,-0.44832778742281676
Arkhangai,2002,SON,-3.2293121714650623
Arkhangai,2003,DJF,-18.31086611335658
Arkhangai,2003,JJA,13.17664508584107
Arkhangai,2003,MAM,-1.7518205807532565
Arkhangai,2003,SON,-3.9320318245593184
Arkhangai,2004,DJF,-18.499156791781182
Arkhangai,2004,JJA,13.914356674382738
Arkhangai,2004,MAM,0.6181504237799225
Arkhangai,2004,SON,-2.6514104489926713
Arkhangai,2005,DJF,-22.12670519793473
Arkhangai,2005,JJA,14.134267095871936
Arkhangai,2005,MAM,-0.3908311631944217
Arkhangai,2005,SON,-1.6545855957784543
Arkhangai,2006,DJF,-19.54246132933061
Arkhangai,2006,JJA,13.284721016589527
Arkhangai,2006,MAM,-1.487128062307076
Arkhangai,2006,SON,-1.0829272611641363
Arkhangai,2007,DJF,-15.4934851846577
Arkhangai,2007,JJA,15.286071325231504
Arkhangai,2007,MAM,0.4868476019965505
Arkhangai,2007,SON,-2.2450471854504017
Arkhangai,2008,DJF,-20.333809821988307
Arkhangai,2008,JJA,14.056729841821008
Arkhangai,2008,MAM,0.8316773967978622
Arkhangai,2008,SON,-1.1264065212673384
Arkhangai,2009,DJF,-18.780417859112752
Arkhangai,2009,JJA,13.026836178626565
Arkhangai,2009,MAM,0.7792632679880629
Arkhangai,2009,SON,-3.541491218849442
Arkhangai,2010,DJF,-22.62848190495995
Arkhangai,2010,JJA,14.161170789930576
Arkhangai,2010,MAM,-3.7757709927028853
Arkhangai,2010,SON,-0.8127901807243214
Arkhangai,2011,DJF,-20.984811552071257
Arkhangai,2011,JJA,14.081020326967614
Arkhangai,2011,MAM,-1.6297578034577318
Arkhangai,2011,SON,-4.1125180091386735
Arkhangai,2012,DJF,-22.167534703384188
Arkhangai,2012,JJA,13.432802854938293
Arkhangai,2012,MAM,-0.7398377218363971
Arkhangai,2012,SON,-3.8044415509259033
Arkhangai,2013,DJF,-21.620606438907554
Arkhangai,2013,JJA,13.189723186728417
Arkhangai,2013,MAM,0.7107795621142202
Arkhangai,2013,SON,-1.797128823362728
Arkhangai,2014,DJF,-18.166963676170045
Arkhangai,2014,JJA,13.168229769483046
Arkhangai,2014,MAM,0.23692672164354125
Arkhangai,2014,SON,-1.6166951497395605
Arkhangai,2015,DJF,-16.870921174979483
Arkhangai,2015,JJA,14.456876326196008
Arkhangai,2015,MAM,-0.802141806520039
Arkhangai,2015,SON,-2.863774316104819
Arkhangai,2016,DJF,-19.300389494719308
Arkhangai,2016,JJA,14.180940152391997
Arkhangai,2016,MAM,-0.12180929301695258
Arkhangai,2016,SON,-3.464188639322894
Arkhangai,2017,DJF,-17.79020792643227
Arkhangai,2017,JJA,15.412319155092614
Arkhangai,2017,MAM,1.3867296006944672
Arkhangai,2017,SON,-2.67786631643034
Arkhangai,2018,DJF,-19.27494937284491
Arkhangai,2018,JJA,14.40586600597996
Arkhangai,2018,MAM,2.83552637924385
Arkhangai,2018,SON,-3.2793301052517134
Arkhangai,2019,DJF,-21.02082568510077
Arkhangai,2019,JJA,14.43126265914354
Arkhangai,2019,MAM,0.40066972897378816
Arkhangai,2019,SON,-0.7217241263683704
Arkhangai,2020,DJF,-17.14971639374154
Arkhangai,2020,JJA,13.853342616705268
Arkhangai,2020,MAM,1.8504551263503313
Arkhangai,2020,SON,-2.1377430480203286
Arkhangai,2021,DJF,-17.587389562159387
Arkhangai,2021,JJA,13.214417558834898
Arkhangai,2021,MAM,0.44481999903551656
Arkhangai,2021,SON,-1.11606972776811
Arkhangai,2022,DJF,-17.756354890046275
Arkhangai,2022,JJA,13.550116946373478
Arkhangai,2022,MAM,0.8203082802855166
Arkhangai,2022,SON,-2.4072946901674395
Arkhangai,2023,DJF,-18.315484063419273
Arkhangai,2023,JJA,14.694557773919774
Arkhangai,2023,MAM,-0.709027777777755
Arkhangai,2023,SON,-1.5151107976465823
Arkhangai,2024,DJF,-20.5987185537079
Arkhangai,2024,JJA,15.872075135030885
Arkhangai,2024,MAM,1.8901596257716278
Arkhangai,2024,SON,-0.3920149438174927
Arkhangai,2025,DJF,-16.92696284541375
Arkhangai,2025,JJA,14.852139998071008
Arkhangai,2025,MAM,1.3563145013503313
Arkhangai,2025,SON,-2.4896056375385576
Arkhangai,2026,DJF,-15.793217863859931
Bayan-Ulgii,1970,DJF,-21.64557565272537
Bayan-Ulgii,1970,JJA,8.506279932950214
Bayan-Ulgii,1970,MAM,-8.203037212269495
