Aimag,Year,Season,Seasonal_SPEI3
Arkhangai,1980,JJA,0.2575823664451517
Arkhangai,1980,MAM,1.166811902466927
Arkhangai,1980,SON,0.7408389750483124
Arkhangai,1981,DJF,1.0822955839162305
Arkhangai,1981,JJA,0.6691055364720583
Arkhangai,1981,MAM,1.4517936732121859
Arkhangai,1981,SON,1.8122972067039884
Arkhangai,1982,DJF,0.352985200920654
Arkhangai,1982,JJA,0.7337023310600833
Arkhangai,1982,MAM,0.3358228883297856
Arkhangai,1982,SON,1.2699845570803654
Arkhangai,1983,DJF,0.8855418378258715
Arkhangai,1983,JJA,1.0585532383663985
Arkhangai,1983,MAM,0.364643597523404
Arkhangai,1983,SON,0.34216306563951876
Arkhangai,1984,DJF,0.2631687944067704
Arkhangai,1984,JJA,0.538660980476699
Arkhangai,1984,MAM,0.43917223618620516
Arkhangai,1984,SON,2.5987846557005896
Arkhangai,1985,DJF,1.0905439875640515
Arkhangai,1985,JJA,0.4448983981313995
Arkhangai,1985,MAM,1.05936456154729
Arkhangai,1985,SON,0.8898051461781225
Arkhangai,1986,DJF,0.6868464533079467
Arkhangai,1986,JJA,0.8855845249196506
Arkhangai,1986,MAM,1.170456602600518
Arkhangai,1986,SON,1.2661584739723708
Arkhangai,1987,DJF,1.0048963169882854
Arkhangai,1987,JJA,0.34455760857130235
Arkhangai,1987,MAM,1.003014944836964
Arkhangai,1987,SON,1.4526158808174103
Arkhangai,1988,DJF,1.1297707284144851
Arkhangai,1988,JJA,-0.25483924685156295
Arkhangai,1988,MAM,0.8573451640221088
Arkhangai,1988,SON,-0.19598915421198837
Arkhangai,1989,DJF,0.03904221201599273
Arkhangai,1989,JJA,0.1928511771698334
Arkhangai,1989,MAM,0.7230518962191379
Arkhangai,1989,SON,1.4773952150560503
Arkhangai,1990,DJF,0.004070317400674963
Arkhangai,1990,JJA,1.813976367088806
Arkhangai,1990,MAM,1.3938210617324642
Arkhangai,1990,SON,0.20918413544210154
Arkhangai,1991,DJF,-0.5114911498479388
Arkhangai,1991,JJA,0.7141517478369422
Arkhangai,1991,MAM,0.402455740089952
Arkhangai,1991,SON,0.8520707675217131
Arkhangai,1992,DJF,-0.14134560418213546
Arkhangai,1992,JJA,1.136253576358482
Arkhangai,1992,MAM,-0.20575509711095008
Arkhangai,1992,SON,1.2923947046537
Arkhangai,1993,DJF,0.6139659311125666
Arkhangai,1993,JJA,2.1609286189657713
Arkhangai,1993,MAM,0.9807284936556188
Arkhangai,1993,SON,0.8125501818511812
Arkhangai,1994,DJF,-0.111045413714756
Arkhangai,1994,JJA,1.4773468933630978
Arkhangai,1994,MAM,0.044049805576838796
Arkhangai,1994,SON,1.3737106552349625
Arkhangai,1995,DJF,0.3250989556666075
Arkhangai,1995,JJA,0.694140083110277
Arkhangai,1995,MAM,0.973627479336002
Arkhangai,1995,SON,-0.6197533762239391
Arkhangai,1996,DJF,-0.9656330845367684
Arkhangai,1996,JJA,-0.38851249912134034
