Aimag,Year,JJA_Mean_SPEI3
Arkhangai,1950,2.1128526280285707
Arkhangai,1951,0.6141399078409613
Arkhangai,1952,0.7907764911010499
Arkhangai,1953,0.47390382730116853
Arkhangai,1954,1.2665757052258753
Arkhangai,1955,1.453551454142002
Arkhangai,1956,1.4410528381157894
Arkhangai,1957,0.3581048238395379
Arkhangai,1958,1.3074470230291315
Arkhangai,1959,1.3349940332881398
Arkhangai,1960,1.627352247123526
Arkhangai,1961,1.004216684038686
Arkhangai,1962,0.22552783092854378
Arkhangai,1963,0.9090391096356486
Arkhangai,1964,1.4433992452255149
Arkhangai,1965,0.8839065031408746
Arkhangai,1966,0.6998119179893237
Arkhangai,1967,1.2543556740484092
Arkhangai,1968,0.03423224631740614
Arkhangai,1969,0.8070068971375357
Arkhangai,1970,0.17976286190018576
Arkhangai,1971,1.5517790423008877
Arkhangai,1972,0.93714610745638
Arkhangai,1973,1.527905939967927
Arkhangai,1974,-0.24461931374728657
Arkhangai,1975,0.5438951234227152
Arkhangai,1976,1.387145218297737
Arkhangai,1977,0.5014294606200346
Arkhangai,1978,0.4196961950469801
Arkhangai,1979,0.31453147452917735
Arkhangai,1980,0.2575866110732566
Arkhangai,1981,0.6696014918640559
Arkhangai,1982,0.7329723397279303
Arkhangai,1983,1.0586324254198336
Arkhangai,1984,0.5392747701127193
Arkhangai,1985,0.44422145371032856
Arkhangai,1986,0.8869999718909102
Arkhangai,1987,0.34491029365743686
Arkhangai,1988,-0.2555623970746519
Arkhangai,1989,0.19385324555897246
Arkhangai,1990,1.8137418773615577
Arkhangai,1991,0.7138895700097103
Arkhangai,1992,1.1365751250076113
Arkhangai,1993,2.1614969470274485
Arkhangai,1994,1.4769213388072804
Arkhangai,1995,0.694267961453584
Arkhangai,1996,-0.388319350859355
Arkhangai,1997,-0.13065609218164062
Arkhangai,1998,-0.052713798351317724
Arkhangai,1999,0.26104323516431205
Arkhangai,2000,-0.5751926361855295
Arkhangai,2001,-0.3748347757925997
Arkhangai,2002,-1.6288086993382216
Arkhangai,2003,0.15254379002182097
Arkhangai,2004,-0.6649355729629783
Arkhangai,2005,-0.39797107446716407
Arkhangai,2006,0.4138336405508397
Arkhangai,2007,-0.6139871450607569
Arkhangai,2008,0.10146331030376009
Arkhangai,2009,-0.5818558640560023
Arkhangai,2010,-0.2595964663670961
Arkhangai,2011,-0.019831910376018128
Arkhangai,2012,-0.10137864821228851
Arkhangai,2013,-0.4570544716893716
Arkhangai,2014,-0.40413165461791606
Arkhangai,2015,-0.41337999567733635
Arkhangai,2016,0.9122850878985445
Arkhangai,2017,-2.198568842819768
Arkhangai,2018,-0.22570579514139125
Arkhangai,2019,-0.5955869854141747
Arkhangai,2020,-0.7867016778864396
Arkhangai,2021,0.697111851812264
Arkhangai,2022,-1.193377119551849
Arkhangai,2023,0.24500042981210862
Arkhangai,2024,-1.0466528679741447
Bayan-Ulgii,1950,-1.057451529666037
Bayan-Ulgii,1951,0.25731010330247633
Bayan-Ulgii,1952,-0.1562394869227519
Bayan-Ulgii,1953,-1.2005364718954614
Bayan-Ulgii,1954,0.6095167044941011
Bayan-Ulgii,1955,-1.1435536573724818
Bayan-Ulgii,1956,0.04000296412914679
Bayan-Ulgii,1957,-1.019579950955585
Bayan-Ulgii,1958,1.2888275179668671
Bayan-Ulgii,1959,0.9139237192379001
Bayan-Ulgii,1960,0.36113447966646645
Bayan-Ulgii,1961,1.3043521026743332
Bayan-Ulgii,1962,-0.26516566147332155
Bayan-Ulgii,1963,-0.14617630211346147
Bayan-Ulgii,1964,-0.2516444769443402
Bayan-Ulgii,1965,-0.4072639105083734
Bayan-Ulgii,1966,0.10977917311373935
Bayan-Ulgii,1967,0.10674878767851115
Bayan-Ulgii,1968,-0.6764823698607507
Bayan-Ulgii,1969,1.9353646475843465
Bayan-Ulgii,1970,1.2364705718221731
Bayan-Ulgii,1971,0.8767662125322506
Bayan-Ulgii,1972,-0.14022009102152697
Bayan-Ulgii,1973,0.8436252016415889
Bayan-Ulgii,1974,-1.4007523202223782
Bayan-Ulgii,1975,0.8242830158910357
Bayan-Ulgii,1976,1.2842193049411441
Bayan-Ulgii,1977,-0.052566257460466
Bayan-Ulgii,1978,0.21972803898274146
Bayan-Ulgii,1979,0.9288595616731885
Bayan-Ulgii,1980,0.1520703321264024
Bayan-Ulgii,1981,-0.21660059984593127
Bayan-Ulgii,1982,-0.58122239201246
Bayan-Ulgii,1983,1.7319104040623299
Bayan-Ulgii,1984,2.024570879485006
Bayan-Ulgii,1985,0.19511619598180352
Bayan-Ulgii,1986,1.04939481834325
Bayan-Ulgii,1987,1.6026975250020608
Bayan-Ulgii,1988,0.5668800095754916
Bayan-Ulgii,1989,0.017943593691096212
Bayan-Ulgii,1990,0.2299513397422337
Bayan-Ulgii,1991,0.26883171309246223
Bayan-Ulgii,1992,-0.25007077388910054
Bayan-Ulgii,1993,1.7783171284259782
Bayan-Ulgii,1994,1.57859988291123
Bayan-Ulgii,1995,0.09235134132943461
Bayan-Ulgii,1996,0.7339799404611169
Bayan-Ulgii,1997,0.1272024052500404
Bayan-Ulgii,1998,0.33241574442446353
Bayan-Ulgii,1999,0.23257839938738595
Bayan-Ulgii,2000,0.14488309937892993
Bayan-Ulgii,2001,-0.633256749925165
Bayan-Ulgii,2002,-0.8531461122683087
Bayan-Ulgii,2003,0.5443852841524983
Bayan-Ulgii,2004,-0.43956525532456314
Bayan-Ulgii,2005,0.21971266640639184
Bayan-Ulgii,2006,-0.43817096950483825
Bayan-Ulgii,2007,-0.9071321667132576
Bayan-Ulgii,2008,-1.0917597973982118
Bayan-Ulgii,2009,-1.0405196539011932
Bayan-Ulgii,2010,-0.31049799120528376
Bayan-Ulgii,2011,-0.2421860585967597
Bayan-Ulgii,2012,0.46779516883902544
Bayan-Ulgii,2013,0.5530753019411417
Bayan-Ulgii,2014,-0.007556142671640468
Bayan-Ulgii,2015,-0.34729313664186146
Bayan-Ulgii,2016,0.703451622769007
Bayan-Ulgii,2017,-1.168566915574937
Bayan-Ulgii,2018,-0.5378688179878349
Bayan-Ulgii,2019,0.44129752732180694
Bayan-Ulgii,2020,0.6197129563766215
Bayan-Ulgii,2021,-0.4177095888377944
Bayan-Ulgii,2022,-2.375647465663927
Bayan-Ulgii,2023,-0.8744967739734935
Bayan-Ulgii,2024,-0.9745052612869912
Bayankhongor,1950,1.15031052699359
Bayankhongor,1951,-0.23634984193900674
Bayankhongor,1952,-0.17023587833643095
Bayankhongor,1953,-0.2884274242009303
Bayankhongor,1954,0.932656080231279
Bayankhongor,1955,1.3302559305628456
Bayankhongor,1956,0.26547422543697863
Bayankhongor,1957,-0.10893587494532354
Bayankhongor,1958,0.6017492497713182
Bayankhongor,1959,0.6506674679523756
Bayankhongor,1960,0.2144646019732419
Bayankhongor,1961,0.05167858873887823
Bayankhongor,1962,0.1345055877222134
Bayankhongor,1963,0.177738521385594
Bayankhongor,1964,1.010016971551564
Bayankhongor,1965,-0.05213523437945265
Bayankhongor,1966,0.057413938043865756
Bayankhongor,1967,-0.2873367756710383
Bayankhongor,1968,0.06312448135590762
Bayankhongor,1969,0.37485989972754274
Bayankhongor,1970,-0.19467856235999934
Bayankhongor,1971,1.1322209151159386
Bayankhongor,1972,0.0723070891881887
Bayankhongor,1973,0.9083341334656575
Bayankhongor,1974,0.1957427023546386
Bayankhongor,1975,1.2627112215088665
Bayankhongor,1976,1.3657615839379604
Bayankhongor,1977,1.1184018417668635
Bayankhongor,1978,0.5273771974414766
Bayankhongor,1979,1.1872141707798354
Bayankhongor,1980,-0.2527360377948791
Bayankhongor,1981,0.5043792398541569
Bayankhongor,1982,0.13561260546493917
Bayankhongor,1983,0.1641252417882447
Bayankhongor,1984,0.6932522758832502
Bayankhongor,1985,0.08841264232794568
Bayankhongor,1986,0.16173177708186168
Bayankhongor,1987,0.43654163035086646
Bayankhongor,1988,-0.328279794860483
Bayankhongor,1989,-0.5561346642900613
Bayankhongor,1990,0.9075373038169802
Bayankhongor,1991,-0.04363392096582017
Bayankhongor,1992,0.6228519901618731
Bayankhongor,1993,1.5243300958906352
Bayankhongor,1994,1.030613173961518
Bayankhongor,1995,0.08967177537620445
Bayankhongor,1996,0.4850377207651832
Bayankhongor,1997,0.6978111712024644
Bayankhongor,1998,-0.015142104115637208
Bayankhongor,1999,0.3802094832534347
Bayankhongor,2000,-0.1170974640682461
Bayankhongor,2001,-0.7255697539832764
Bayankhongor,2002,-0.5473776121729357
Bayankhongor,2003,1.4138084493267304
Bayankhongor,2004,-0.6079245060892681
Bayankhongor,2005,-0.7640902459179626
Bayankhongor,2006,-0.07546652821382963
Bayankhongor,2007,-0.5447326259727514
